open_time,open,high,low,close,volume
2025-08-01,115764.07000000,116052.00000000,112722.58000000,113297.93000000,24487.10206000
2025-08-02,113297.92000000,114063.49000000,112003.00000000,112546.35000000,11507.33428000
2025-08-03,112546.35000000,114799.97000000,111920.00000000,114208.80000000,7397.76046000
2025-08-04,114208.81000000,115720.00000000,114107.60000000,115055.03000000,9667.67916000
2025-08-05,115055.03000000,115127.81000000,112650.00000000,114129.75000000,12042.79078000
2025-08-06,114129.75000000,115716.00000000,113355.13000000,114992.27000000,9761.15318000
2025-08-07,114992.27000000,117621.00000000,114259.00000000,117472.01000000,13468.56263000
2025-08-08,117472.02000000,117630.00000000,115878.71000000,116674.74000000,10045.31278000
2025-08-09,116674.74000000,117944.05000000,116299.13000000,116462.25000000,9514.13144000
2025-08-10,116462.25000000,119311.11000000,116460.63000000,119294.01000000,14322.77073000
2025-08-11,119294.27000000,122335.16000000,118050.11000000,118686.00000000,26494.33429000
2025-08-12,118686.00000000,120324.43000000,118207.47000000,120134.08000000,16720.10893000
2025-08-13,120134.09000000,123667.79000000,118920.92000000,123306.43000000,23210.07102000
2025-08-14,123306.44000000,124474.00000000,117180.00000000,118295.09000000,27980.94758600
2025-08-15,118295.09000000,119216.82000000,116803.99000000,117342.05000000,13623.33874000
2025-08-16,117342.04000000,117898.99000000,117143.98000000,117380.66000000,6393.68117000
2025-08-17,117380.66000000,118575.00000000,117172.21000000,117405.01000000,5898.64192000
2025-08-18,117405.01000000,117543.75000000,114640.14000000,116227.05000000,17745.93954000
2025-08-19,116227.05000000,116725.69000000,112732.58000000,112872.94000000,18065.47424000
2025-08-20,112872.95000000,114615.38000000,112380.00000000,114271.24000000,15636.34194000
2025-08-21,114271.23000000,114821.76000000,112015.67000000,112500.00000000,10839.69235000
2025-08-22,112500.00000000,117429.05000000,111684.79000000,116935.99000000,23128.09037000
2025-08-23,116936.00000000,117030.00000000,114560.00000000,115438.05000000,11329.36197000
2025-08-24,115438.06000000,115666.68000000,110680.00000000,113493.59000000,21175.98462000
